"epochs"	"rss"	"correctness"	"etl"	"etp"	"etc"
2000	2.826886	0.000000	382.175648	0.000027	382.279245
2000	3.071052	0.000000	393.343393	0.000025	393.451152
2000	3.193072	0.000000	372.850836	0.000029	372.949425
2000	3.181140	0.000000	366.233667	0.000027	366.331316
2000	3.126886	0.000000	364.551315	0.000025	364.645377
2000	3.235427	0.000000	365.076714	0.000031	365.171021
2000	3.125365	0.000000	367.123635	0.000026	367.218865
2000	3.143822	0.000000	368.323592	0.000030	368.416721
2000	3.157754	0.000000	364.661513	0.000025	364.759732
2000	3.152095	0.000000	365.189750	0.000026	365.282035
2000	3.163589	0.000000	365.841784	0.000035	365.934447
2000	3.270141	0.000000	366.331373	0.000025	366.425827
2000	3.154980	0.000000	364.496926	0.000035	364.589886
2000	3.160039	0.000000	362.341799	0.000043	362.434260
2000	3.242401	0.000000	362.369218	0.000027	362.461983
2000	3.300309	0.000000	368.108398	0.000032	368.206060
2000	3.031931	0.000000	365.286827	0.000030	365.379772
2000	3.050920	0.000000	366.967139	0.000025	367.060908
2000	2.992233	0.000000	365.050928	0.000026	365.148658
2000	3.121254	0.000000	367.145305	0.000025	367.240474
2000	3.073437	0.000000	365.422368	0.000034	365.516657
2000	3.252628	0.000000	365.863455	0.000025	365.962427
2000	3.085686	0.000000	368.280067	0.000028	368.373322
2000	3.047599	0.000000	367.408632	0.000026	367.509580
2000	3.079058	0.000000	364.629996	0.000034	364.722845
2000	3.198467	0.000000	366.348739	0.000030	366.442103
2000	3.125953	0.000000	363.940383	0.000032	364.033558
2000	3.144706	0.000000	365.492900	0.000025	365.585750
2000	3.029258	0.000000	365.853191	0.000025	365.946524
2000	3.201276	0.000000	367.458520	0.000027	367.553125
2000	3.585952	0.000000	367.008860	0.000025	367.101674
2000	3.207259	0.000000	364.629158	0.000033	364.721869
2000	3.148368	0.000000	366.144258	0.000051	366.238152
2000	3.316668	0.000000	365.060125	0.000026	365.153963
2000	3.142549	0.000000	364.006158	0.000030	364.099107
2000	3.271512	0.000000	364.670584	0.000025	364.769291
2000	3.086490	0.000000	366.843115	0.000027	366.936696
2000	3.359117	0.000000	372.412454	0.000025	372.516012
2000	3.260274	0.000000	394.756452	0.000026	394.864320
2000	3.049627	0.000000	376.178862	0.000025	376.274194
2000	3.165802	0.000000	364.566015	0.000030	364.660066
2000	3.306517	0.000000	366.046056	0.000026	366.139938
2000	3.255205	0.000000	364.907084	0.000027	364.999474
2000	3.072710	0.000000	364.368421	0.000025	364.462756
2000	3.140778	0.000000	365.755916	0.000025	365.849344
2000	2.948538	0.000000	364.649409	0.000026	364.743382
2000	2.963701	0.000000	363.441193	0.000036	363.534853
2000	3.273829	0.000000	365.998542	0.000025	366.097403
2000	2.921588	0.000000	365.095111	0.000029	365.190312
2000	3.139275	0.000000	364.257498	0.000025	364.356015
2000	3.122807	0.000000	364.530897	0.000025	364.624708
2000	3.068574	0.000000	366.273566	0.000027	366.367467
2000	3.165140	0.000000	368.916326	0.000026	369.010081
2000	3.110202	0.000000	367.452001	0.000027	367.545492
