"epochs"	"rss"	"correctness"	"etl"	"etp"	"etc"
2000	6.728420	0.000000	426.978560	0.000027	427.109345
2000	8.272961	0.000000	396.681137	0.000027	396.808845
2000	6.177609	0.000000	382.082858	0.000027	382.203209
2000	6.415971	0.000000	372.967121	0.000027	373.083850
2000	6.452344	0.000000	373.275726	0.000026	373.396638
2000	7.477256	0.000000	372.321393	0.000026	372.436852
2000	6.022889	0.000000	372.832736	0.000026	372.945203
2000	6.294730	0.000000	372.382666	0.000026	372.495898
2000	6.585528	0.000000	372.226841	0.000026	372.339858
2000	6.929847	0.000000	371.857978	0.000026	371.971080
2000	7.071627	0.000000	373.062634	0.000026	373.175551
2000	7.215108	0.000000	371.994675	0.000027	372.116226
2000	7.873673	0.000000	385.393365	0.000026	385.508122
2000	6.735439	0.000000	389.753453	0.000027	389.874733
2000	6.753454	0.000000	387.858281	0.000026	387.990198
2000	6.176526	0.000000	390.528891	0.000026	390.649208
2000	6.343709	0.000000	373.700288	0.000026	373.814473
2000	6.430510	0.000000	373.237267	0.000027	373.352650
2000	6.610712	0.000000	374.100233	0.000026	374.213900
2000	8.176718	0.000000	373.300579	0.000027	373.414231
2000	8.389787	0.000000	375.099403	0.000026	375.213954
2000	6.744449	0.000000	374.036874	0.000027	374.150185
2000	6.784223	0.000000	374.943984	0.000027	375.057680
2000	6.818005	0.000000	372.504229	0.000027	372.617550
2000	7.659214	0.000000	371.776601	0.000026	371.890596
2000	5.812763	0.000000	372.673166	0.000026	372.791240
2000	7.108265	0.000000	374.220790	0.000027	374.336182
2000	6.835767	0.000000	373.409251	0.000027	373.525953
2000	8.754660	0.000000	373.519224	0.000026	373.632769
2000	6.908172	0.000000	374.154530	0.000026	374.272203
2000	7.181717	0.000000	373.721317	0.000027	373.835740
2000	6.776360	0.000000	373.775163	0.000025	373.888332
2000	7.707157	0.000000	372.917130	0.000027	373.030218
2000	6.480171	0.000000	373.576893	0.000027	373.694395
2000	6.336377	0.000000	372.521017	0.000026	372.637905
2000	6.603275	0.000000	372.542225	0.000026	372.655033
2000	7.079587	0.000000	371.862273	0.000026	371.977020
2000	6.354136	0.000000	373.674201	0.000027	373.787768
2000	6.011266	0.000000	373.491426	0.000027	373.607461
2000	7.543408	0.000000	372.519597	0.000027	372.637473
2000	6.781604	0.000000	375.388796	0.000027	375.502189
2000	7.100348	0.000000	372.765442	0.000027	372.882839
2000	6.234523	0.000000	373.343847	0.000027	373.458458
2000	6.789649	0.000000	371.700333	0.000027	371.813699
2000	6.712158	0.000000	373.552354	0.000027	373.669632
2000	6.341225	0.000000	372.120920	0.000026	372.234474
2000	7.201950	0.000000	374.317396	0.000026	374.431071
2000	6.366127	0.000000	374.641076	0.000027	374.756288
2000	6.262804	0.000000	373.320356	0.000027	373.438477
2000	6.301103	0.000000	374.141319	0.000027	374.257957
2000	7.139459	0.000000	373.846641	0.000027	373.964411
2000	10.405274	0.000000	374.896466	0.000026	375.010358
2000	6.495434	0.000000	374.399537	0.000034	374.514016
2000	7.291594	0.000000	373.535479	0.000027	373.649204
2000	6.555450	0.000000	375.057822	0.000026	375.171797
2000	6.084817	0.000000	373.060817	0.000026	373.175004
2000	5.952211	0.000000	371.941215	0.000039	372.056790
2000	7.070431	0.000000	373.010114	0.000026	373.130477
2000	6.701698	0.000000	375.250765	0.000027	375.374727
2000	6.732541	0.000000	373.017962	0.000027	373.132768
2000	7.643825	0.000000	374.425576	0.000027	374.542910
2000	7.923368	0.000000	373.849854	0.000027	373.967050
2000	7.927183	0.000000	371.314760	0.000027	371.428416
2000	7.411337	0.000000	371.921184	0.000026	372.040276
2000	6.827781	0.000000	375.368396	0.000026	375.482197
2000	7.135147	0.000000	373.673127	0.000027	373.786420
2000	7.360782	0.000000	374.856934	0.000026	374.970975
2000	6.797201	0.000000	374.803737	0.000027	374.917324
2000	7.056103	0.000000	373.064715	0.000026	373.184794
2000	6.799764	0.000000	373.816609	0.000027	373.929112
2000	7.098354	0.000000	372.757694	0.000027	372.873054
2000	7.365230	0.000000	373.501187	0.000027	373.615665
2000	8.229361	0.000000	373.649267	0.000026	373.761900
2000	7.358405	0.000000	373.987620	0.000026	374.100587
2000	6.333040	0.000000	372.423250	0.000027	372.540739
2000	8.062737	0.000000	373.637056	0.000026	373.750453
2000	6.639277	0.000000	375.561451	0.000026	375.685263
2000	6.940147	0.000000	373.638915	0.000027	373.756900
2000	5.773171	0.000000	375.438438	0.000027	375.554001
2000	6.573377	0.000000	374.812144	0.000026	374.925571
2000	6.416547	0.000000	373.081116	0.000026	373.197107
2000	6.812305	0.000000	374.817221	0.000027	374.935120
2000	6.850929	0.000000	375.406859	0.000026	375.521151
2000	8.091692	0.000000	373.899251	0.000027	374.012132
2000	7.000904	0.000000	374.234094	0.000026	374.352119
2000	6.185193	0.000000	373.388199	0.000027	373.504641
2000	7.333344	0.000000	375.259209	0.000026	375.372438
2000	7.697296	0.000000	392.262432	0.000026	392.384346
2000	7.945208	0.000000	399.517537	0.000026	399.639574
2000	6.186072	0.000000	372.401233	0.000026	372.515629
2000	6.818149	0.000000	374.331670	0.000027	374.447686
2000	6.386533	0.000000	372.636126	0.000027	372.753131
2000	7.382495	0.000000	372.501191	0.000027	372.621957
2000	6.989721	0.000000	374.419829	0.000026	374.533648
2000	5.952662	0.000000	371.693430	0.000027	371.809506
2000	6.097995	0.000000	371.468896	0.000027	371.583311
2000	6.622290	0.000000	372.891908	0.000027	373.005675
2000	7.406977	0.000000	373.717165	0.000027	373.830806
2000	6.763348	0.000000	374.144427	0.000026	374.258420
2000	7.181997	0.000000	372.797273	0.000027	372.913323
