"epochs"	"rss"	"correctness"	"etl"	"etp"	"etc"
2000	6.464734	0.000000	369.155154	0.000026	369.256705
2000	6.491910	0.000000	369.080936	0.000026	369.181029
2000	6.375015	0.000000	367.802001	0.000027	367.902791
2000	7.205992	0.000000	367.032315	0.000026	367.133621
2000	6.609085	0.000000	368.300867	0.000026	368.401829
2000	6.931159	0.000000	368.718540	0.000027	368.820888
2000	7.222536	0.000000	368.388325	0.000026	368.488235
2000	6.865571	0.000000	367.531657	0.000026	367.631282
2000	6.414401	0.000000	370.913648	0.000026	371.014533
2000	6.574805	0.000000	365.701675	0.000027	365.801668
2000	6.951168	0.000000	367.235965	0.000026	367.336184
2000	7.678542	0.000000	369.624253	0.000026	369.726492
2000	6.847015	0.000000	366.348492	0.000026	366.449013
2000	6.442599	0.000000	368.358306	0.000026	368.459212
2000	7.134124	0.000000	367.303471	0.000026	367.404131
2000	7.091266	0.000000	366.199246	0.000027	366.302592
2000	6.720257	0.000000	367.156459	0.000027	367.262444
2000	7.181884	0.000000	367.774179	0.000026	367.876179
2000	6.709288	0.000000	370.714993	0.000026	370.816031
2000	6.817448	0.000000	370.023888	0.000026	370.124824
2000	7.400934	0.000000	371.306442	0.000027	371.406732
2000	6.863192	0.000000	366.649308	0.000027	366.750357
2000	7.113822	0.000000	369.532759	0.000026	369.633273
2000	6.725778	0.000000	367.111815	0.000026	367.211820
2000	6.756947	0.000000	367.432616	0.000027	367.533725
2000	7.333875	0.000000	367.884844	0.000026	367.985870
2000	6.419344	0.000000	368.449422	0.000026	368.549924
2000	6.578662	0.000000	369.708350	0.000026	369.814328
2000	7.242899	0.000000	377.336630	0.000027	377.449909
2000	7.162494	0.000000	414.996594	0.000027	415.124564
2000	7.071301	0.000000	391.956665	0.000027	392.073616
2000	6.820593	0.000000	374.557394	0.000026	374.660664
2000	7.125137	0.000000	367.973208	0.000026	368.073474
2000	6.735473	0.000000	368.780557	0.000026	368.880630
2000	6.919786	0.000000	368.338078	0.000027	368.439403
2000	6.776379	0.000000	366.266709	0.000027	366.370247
2000	6.877332	0.000000	366.765085	0.000026	366.863967
2000	7.566304	0.000000	369.031562	0.000026	369.138718
2000	7.636545	0.000000	368.853435	0.000025	368.954023
2000	6.653002	0.000000	369.584963	0.000030	369.684844
2000	6.522261	0.000000	369.699391	0.000026	369.800598
2000	6.617622	0.000000	369.461977	0.000028	369.561837
2000	6.799888	0.000000	367.432451	0.000027	367.537069
2000	6.758531	0.000000	368.627101	0.000026	368.728005
2000	6.847274	0.000000	368.160810	0.000029	368.260764
2000	7.499261	0.000000	366.980123	0.000028	367.081371
2000	6.944360	0.000000	368.060819	0.000027	368.167741
2000	7.281905	0.000000	368.384011	0.000027	368.484111
2000	6.809129	0.000000	367.321640	0.000028	367.422681
2000	7.689837	0.000000	368.174894	0.000047	368.276820
2000	6.859403	0.000000	367.337319	0.000044	367.438577
2000	7.317102	0.000000	368.727338	0.000030	368.828497
2000	7.698720	0.000000	367.145840	0.000027	367.246977
2000	7.076492	0.000000	370.019487	0.000028	370.121320
2000	6.692157	0.000000	367.945745	0.000027	368.046979
2000	6.599855	0.000000	368.832716	0.000026	368.933424
2000	6.851629	0.000000	368.647954	0.000026	368.748435
2000	6.978131	0.000000	370.894407	0.000027	370.995510
2000	8.634170	0.000000	368.540411	0.000028	368.641742
2000	7.474158	0.000000	368.759186	0.000026	368.860267
2000	6.489158	0.000000	369.241004	0.000030	369.340951
2000	7.052974	0.000000	365.519719	0.000026	365.620299
2000	6.455960	0.000000	367.161857	0.000026	367.263326
2000	6.776380	0.000000	368.649865	0.000027	368.749270
2000	7.460325	0.000000	368.223584	0.000028	368.327950
2000	6.927828	0.000000	369.372257	0.000026	369.474666
2000	6.406347	0.000000	370.456763	0.000026	370.557740
2000	6.654490	0.000000	369.382397	0.000026	369.482374
2000	6.376596	0.000000	369.357538	0.000027	369.457559
2000	6.810362	0.000000	369.914672	0.000028	370.019807
2000	6.428791	0.000000	367.858337	0.000027	367.959653
2000	7.160242	0.000000	371.119934	0.000027	371.220504
2000	6.772995	0.000000	369.155938	0.000029	369.257543
2000	6.803984	0.000000	369.421801	0.000027	369.523017
2000	7.075846	0.000000	369.254003	0.000026	369.355673
2000	7.284060	0.000000	371.736628	0.000027	371.837582
2000	6.990526	0.000000	367.959984	0.000026	368.061726
2000	6.965957	0.000000	367.754897	0.000027	367.855322
2000	6.532070	0.000000	369.358370	0.000043	369.458890
2000	7.223500	0.000000	367.683574	0.000055	367.785495
2000	6.566843	0.000000	369.065336	0.000026	369.166638
2000	7.118028	0.000000	367.888482	0.000026	367.988866
2000	8.007071	0.000000	366.737691	0.000026	366.838162
2000	6.904158	0.000000	368.012420	0.000027	368.113471
2000	6.437126	0.000000	366.061142	0.000026	366.161811
2000	7.091040	0.000000	366.704963	0.000026	366.805606
2000	6.854858	0.000000	367.529914	0.000026	367.632106
2000	7.566639	0.000000	367.095345	0.000027	367.195637
2000	6.557775	0.000000	369.774367	0.000030	369.878456
