"epochs"	"rss"	"correctness"	"etl"	"etp"	"etc"
2000	6.920097	0.000000	364.171701	0.000025	364.266210
2000	6.632308	0.000000	365.721814	0.000025	365.813463
2000	6.978707	0.000000	364.273579	0.000025	364.366491
2000	7.010691	0.000000	364.849611	0.000026	364.944468
2000	7.348355	0.000000	365.523873	0.000026	365.617419
2000	6.673567	0.000000	367.138457	0.000026	367.236147
2000	6.533920	0.000000	366.056392	0.000025	366.149959
2000	7.528025	0.000000	367.225620	0.000029	367.318135
2000	7.888388	0.000000	364.959726	0.000031	365.057610
2000	6.715877	0.000000	365.440775	0.000025	365.542153
2000	6.496333	0.000000	363.977368	0.000026	364.072370
2000	6.739253	0.000000	365.412938	0.000025	365.509420
2000	6.675343	0.000000	367.925816	0.000030	368.020304
2000	6.539952	0.000000	365.566673	0.000025	365.664053
2000	6.440160	0.000000	367.381290	0.000025	367.474796
2000	6.328918	0.000000	366.731390	0.000026	366.825177
2000	6.772717	0.000000	365.006763	0.000025	365.103417
2000	6.622730	0.000000	364.501752	0.000026	364.594107
2000	7.216648	0.000000	365.273143	0.000026	365.366103
2000	6.830705	0.000000	363.773219	0.000026	363.870852
2000	6.468661	0.000000	365.645403	0.000025	365.738242
2000	7.128427	0.000000	363.538964	0.000026	363.633403
2000	6.715227	0.000000	365.982004	0.000026	366.075170
2000	6.539763	0.000000	365.329992	0.000025	365.428211
2000	6.511988	0.000000	366.501044	0.000072	366.632073
2000	6.556105	0.000000	363.596523	0.000026	363.690097
2000	6.506389	0.000000	364.564914	0.000025	364.659697
2000	6.458098	0.000000	364.009214	0.000031	364.102318
2000	7.442245	0.000000	365.052237	0.000028	365.148333
2000	6.428477	0.000000	366.535766	0.000026	366.632467
2000	6.877047	0.000000	367.453591	0.000025	367.547378
2000	6.811909	0.000000	365.712679	0.000026	365.806528
2000	6.514709	0.000000	365.627805	0.000041	365.722311
2000	7.258431	0.000000	365.035345	0.000026	365.128512
2000	7.028791	0.000000	366.258260	0.000035	366.351651
2000	6.586587	0.000000	364.323316	0.000025	364.417166
