"epochs"	"rss"	"correctness"	"etl"	"etp"	"etc"
2000	6.877904	0.000000	394.455271	0.000026	394.562439
2000	7.558600	0.000000	380.761536	0.000026	380.858498
2000	7.673159	0.000000	363.621444	0.000028	363.716421
2000	6.520840	0.000000	363.814878	0.000026	363.910124
2000	7.340626	0.000000	364.691215	0.000026	364.792780
2000	6.160355	0.000000	369.086784	0.000026	369.182826
2000	7.240411	0.000000	367.015982	0.000026	367.114335
2000	7.093499	0.000000	368.703998	0.000026	368.806891
2000	6.906092	0.000000	365.768733	0.000026	365.863879
2000	7.035605	0.000000	367.490817	0.000026	367.589579
2000	6.675542	0.000000	366.225853	0.000025	366.320347
2000	7.167227	0.000000	364.423860	0.000028	364.519163
2000	7.134062	0.000000	366.896941	0.000026	366.992068
2000	8.393264	0.000000	368.110623	0.000027	368.204560
2000	6.875411	0.000000	369.602062	0.000026	369.702207
2000	6.704783	0.000000	367.013436	0.000028	367.108857
2000	6.330754	0.000000	366.069203	0.000027	366.174207
2000	6.794644	0.000000	370.075745	0.000027	370.175740
2000	6.843726	0.000000	368.099200	0.000028	368.195533
2000	6.200086	0.000000	365.313093	0.000026	365.407405
2000	7.281637	0.000000	368.032439	0.000026	368.126879
2000	7.597860	0.000000	366.144751	0.000038	366.240934
2000	6.868693	0.000000	366.189213	0.000028	366.285266
2000	7.349792	0.000000	367.020871	0.000026	367.115122
2000	7.991799	0.000000	369.306692	0.000026	369.406587
2000	7.036563	0.000000	368.282864	0.000026	368.382409
2000	6.260041	0.000000	366.835585	0.000026	366.930099
2000	6.623091	0.000000	368.030215	0.000026	368.128159
2000	6.796145	0.000000	366.249214	0.000025	366.345119
2000	6.742646	0.000000	368.410295	0.000027	368.507907
2000	6.597328	0.000000	366.407769	0.000026	366.502627
2000	6.884858	0.000000	367.515852	0.000026	367.615618
2000	6.594255	0.000000	368.110247	0.000030	368.210969
2000	6.896310	0.000000	367.767673	0.000026	367.865327
2000	6.913554	0.000000	366.384180	0.000034	366.477607
2000	6.412373	0.000000	368.513941	0.000025	368.612277
2000	6.579892	0.000000	368.459653	0.000026	368.555987
2000	6.137580	0.000000	366.128971	0.000026	366.223102
2000	6.623655	0.000000	366.571236	0.000026	366.668136
2000	7.089435	0.000000	368.657499	0.000029	368.758245
2000	7.010223	0.000000	368.614259	0.000027	368.710114
2000	6.537028	0.000000	368.558093	0.000026	368.656878
2000	6.513328	0.000000	366.746912	0.000025	366.841868
2000	6.727228	0.000000	366.461395	0.000025	366.563947
2000	7.640516	0.000000	369.170862	0.000026	369.269312
2000	7.996086	0.000000	365.949449	0.000026	366.045028
2000	7.106018	0.000000	369.707340	0.000026	369.803256
2000	6.724807	0.000000	369.343069	0.000028	369.438694
2000	8.028514	0.000000	366.721629	0.000026	366.820841
2000	6.996610	0.000000	367.927964	0.000026	368.028321
2000	7.518479	0.000000	368.514941	0.000026	368.615679
2000	6.409788	0.000000	369.020455	0.000026	369.116660
2000	7.708695	0.000000	365.177229	0.000025	365.273352
2000	6.509821	0.000000	366.132785	0.000027	366.227365
2000	6.584097	0.000000	369.630079	0.000045	369.726997
2000	6.418476	0.000000	369.591126	0.000028	369.691518
2000	7.009947	0.000000	367.017066	0.000027	367.119050
2000	6.649358	0.000000	364.636858	0.000029	364.731004
2000	7.019388	0.000000	366.941434	0.000033	367.039410
2000	6.477277	0.000000	367.748635	0.000025	367.852090
2000	6.867106	0.000000	370.144962	0.000034	370.242771
2000	6.721693	0.000000	368.250021	0.000028	368.344812
2000	6.581444	0.000000	368.709740	0.000035	368.809691
2000	6.515520	0.000000	368.022863	0.000028	368.121219
2000	6.918052	0.000000	367.992075	0.000026	368.085255
2000	6.763999	0.000000	368.350800	0.000029	368.447680
2000	7.671818	0.000000	365.805169	0.000026	365.903084
2000	7.580112	0.000000	368.290074	0.000029	368.389192
2000	6.230932	0.000000	368.655302	0.000026	368.751883
2000	6.485424	0.000000	366.399125	0.000027	366.493710
2000	6.435120	0.000000	370.924618	0.000026	371.023052
2000	7.004567	0.000000	367.895923	0.000026	368.000763
2000	6.618501	0.000000	367.536803	0.000029	367.634655
2000	6.733430	0.000000	367.575640	0.000025	367.673059
2000	6.813603	0.000000	365.981992	0.000052	366.081039
2000	6.895612	0.000000	369.120002	0.000027	369.219538
2000	6.955076	0.000000	368.683127	0.000026	368.782925
2000	7.672949	0.000000	367.256649	0.000025	367.353996
2000	7.350268	0.000000	368.158483	0.000028	368.258749
2000	5.999579	0.000000	367.503174	0.000026	367.597134
2000	6.072343	0.000000	366.004870	0.000042	366.101055
2000	7.015714	0.000000	366.611885	0.000026	366.710066
2000	6.508833	0.000000	367.930960	0.000028	368.026709
2000	6.904928	0.000000	366.884025	0.000031	366.980341
2000	7.445039	0.000000	367.266314	0.000026	367.361556
2000	6.918023	0.000000	367.449738	0.000027	367.549938
2000	6.826442	0.000000	367.069603	0.000027	367.166249
2000	7.217643	0.000000	366.157883	0.000031	366.251623
2000	6.314629	0.000000	364.776490	0.000045	364.872133
2000	6.563128	0.000000	368.052052	0.000028	368.154127
2000	6.784807	0.000000	367.288881	0.000026	367.386688
2000	7.191275	0.000000	368.339660	0.000027	368.439881
2000	6.839105	0.000000	367.628137	0.000028	367.722572
2000	7.632229	0.000000	368.954514	0.000026	369.052809
2000	7.178744	0.000000	368.505103	0.000027	368.604816
2000	6.644109	0.000000	367.743832	0.000028	367.841889
2000	6.650688	0.000000	367.851981	0.000026	367.952151
2000	6.715235	0.000000	369.899099	0.000048	370.001129
2000	6.765858	0.000000	367.617845	0.000030	367.715166
2000	7.048237	0.000000	367.374489	0.000030	367.468843
